month,0,1,2,3,4,5,6
2024-01,0,0.04,0.02,0.04,0.02,0.02,0.06
2024-02,0,0.17,0.1,0.0,0.23,0.0,1.0
2024-03,0,0.61,0.05,0.32,0.36,1.0,0.0
2024-04,0,0.6,0.18,0.36,1.0,0.0,0.0
2024-05,0,0.62,0.11,1.0,0.0,0.0,0.0
2024-06,0,0.77,1.0,0.0,0.0,0.0,0.0
2024-07,0,1.0,0.0,0.0,0.0,0.0,0.0
