month,0,1,2,3,4,5,6
2024-01,404.36,290.0,435.36,363.94,1412.33,471.15,514.54
2024-02,484.0,484.0,0.0,234.57,0.0,547.42,0.0
2024-03,4513.83,484.0,684.78,797.8,1304.97,0.0,0.0
2024-04,1897.36,855.0,238.27,2679.77,0.0,0.0,0.0
2024-05,847.9,1400.96,465.13,0.0,0.0,0.0,0.0
2024-06,1069.94,471.76,0.0,0.0,0.0,0.0,0.0
2024-07,1133.64,0.0,0.0,0.0,0.0,0.0,0.0
